Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelvärde GAP,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Steg,Urladdning av Body Battery,Dekompression,Bästa varvtid,Antal varv,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-02-01 14:17:19,false,"Göteborg Löpning","8.21","614","01:03:57","128","188","2.7","108","183","7:47","3:12","222","248","1.19","8.4","9.7","273","7:16","345","0.0","233","759","--","--","--","7,102","-10","Nej","01:03:57","1","--","--","--","00:45:23","01:03:57","-58","64"
Löpband,2026-02-01 12:34:39,false,"Löpband","3.18","520","00:41:41","147","186","3.0","113","240","13:06","3:33","--","--","0.87","9.4","7.8","286","--","168","0.0","112","399","--","--","--","5,060","-10","Nej","00:02:23.8","4","--","--","--","00:22:51","00:41:41","--","--"
Löpning,2026-02-01 11:47:39,false,"Mölndal Löpning","3.12","227","00:25:16","122","164","2.2","101","189","8:06","2:26","162","131","1.26","7.6","9.0","259","6:46","372","0.0","235","655","--","--","--","2,600","-5","Nej","00:25:16","1","--","--","--","00:17:29","00:25:16","-22","86"
Löpning,2026-01-31 16:15:41,false,"Mölndal Löpning","3.71","291","00:27:00","129","165","2.2","135","188","7:16","3:25","257","83","1.02","9.1","9.2","286","5:44","350","0.0","281","581","--","--","--","3,854","-4","Nej","00:27:00","1","--","--","--","00:23:34","00:34:32","-23","79"
Löpning,2026-01-31 10:24:32,false,"Mölndal Löpning","10.37","891","01:37:31","134","178","2.8","103","231","9:24","4:30","516","466","0.90","9.9","8.4","315","8:21","267","0.0","174","603","--","--","--","12,058","-15","Nej","01:37:31","1","--","--","--","01:26:10","01:37:31","-24","97"
Löpning,2026-01-30 18:18:02,false,"Mölndal Löpning","9.75","1,077","01:24:03","161","190","4.3","105","225","8:37","3:29","503","578","0.99","9.6","9.0","332","7:51","283","0.0","181","655","--","--","--","10,436","-14","Nej","00:06:59.1","2","--","--","--","01:11:49","01:24:03","14","91"
Löpning,2026-01-29 18:13:30,false,"Partille Löpning","8.58","863","01:23:48","145","177","3.1","103","250","9:46","2:49","492","507","0.89","10.0","8.6","348","8:45","243","0.0","167","612","--","--","--","10,218","-10","Nej","01:23:48","1","--","--","--","01:13:23","01:23:48","58","144"
Löpning,2026-01-28 19:00:05,false,"Mölndal Löpning","13.99","939","01:07:27","157","176","3.8","160","180","4:49","3:43","192","138","1.30","8.2","10.5","268","4:40","380","0.0","358","695","--","--","--","10,844","-12","Nej","01:07:27","1","--","--","--","01:07:17","01:07:27","-29","69"
Löpning,2026-01-27 17:32:43,false,"Mölndal Löpning","6.45","437","00:33:52","148","181","3.0","148","196","5:15","3:01","117","52","1.29","7.8","9.9","254","4:57","396","0.0","323","717","--","--","--","5,090","-6","Nej","00:00:00.9","12","--","--","--","00:30:34","00:33:52","-65","5"
Löpning,2026-01-26 16:17:27,false,"Göteborg Löpning","10.35","710","00:54:47","148","170","3.1","162","176","5:17","3:37","188","166","1.17","8.5","9.8","271","5:08","342","0.0","327","514","--","--","--","8,878","-10","Nej","00:54:47","1","--","--","--","00:53:55","00:54:47","4","74"
