Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Medelvärde GAP,Medelcykelkadens,Maximal cykelkadens,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Intensitet,Flöde,Totalt antal årtag,Steg,Totalt antal repetitioner,Totalt antal set,Urladdning av Body Battery,Minsta temperatur,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Terränglöpning,2026-02-03 11:09:28,false,"Göteborg Terränglöpning","8.00","603","00:39:18","144","163","3.6","166","178","4:55","4:10","109","102","1.23","7.9","9.7","258","--","4:49","--","--","418","0.0","409","637","--","--","--","6,546","--","--","-8","--","Nej","00:39:18","1","--","--","--","--","00:39:17","00:39:18","38","88"
Gym- och träningsredskap,2026-02-03 06:42:47,false,"8x3:00/1:00r SkiErg","7.30","371","00:32:00","138","146","2.4","102","122","13.7","15.4","--","--","1.76","--","--","--","--","--","--","--","186","0.0","154","219","--","--","--","2,482","--","--","--","--","Nej","00:01:00","16","--","--","--","--","00:30:40","00:32:00","--","--"
Gym- och träningsredskap,2026-02-02 18:24:24,false,"5x6:00/1:00r SkiErg","7.78","416","00:35:00","127","139","2.2","100","446","13.3","14.9","--","--","1.96","--","--","--","--","--","--","--","162","0.0","143","199","--","--","--","2,990","--","--","--","--","Nej","00:01:00","10","--","--","--","--","00:33:44","00:35:00","--","--"
Styrketräning,2026-02-02 06:37:49,false,"Styrka","0.00","177","00:26:16","96","132","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","12","6","1","-4","--","Nej","00:26:16","1","--","--","--","--","00:26:16","00:26:16","--","--"
Längdskidåkning klassisk stil,2026-02-01 10:43:51,false,"Ale Längdskidåkning klassisk stil","0.36","15","00:04:00.1","75","97","0.0","--","--","5.4","19.5","3","2","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","122","--","--","-3","23.0","Nej","00:04:00.1","1","24.0","--","--","--","00:02:08","00:04:00.1","70","74"
Längdskidåkning fristil,2026-01-31 08:57:01,false,"Borås Längdskidåkning fristil","24.51","993","01:41:49","122","151","2.8","--","--","14.4","44.6","679","668","--","--","--","--","--","--","--","--","202","477.3","169","508","--","--","--","8,140","--","--","-17","3.0","Nej","00:03:20.1","4","16.0","29","16","42","01:33:43","01:52:06","245","288"
Längdskidåkning fristil,2026-01-29 18:03:35,false,"Kungälv Längdskidåkning fristil","1.74","182","00:28:01","94","139","0.7","--","--","3.7","10.7","126","120","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,850","--","--","-2","13.0","Nej","00:28:01","1","15.0","--","--","--","00:23:30","00:28:01","-0","32"
Längdskidåkning fristil,2026-01-28 19:17:43,false,"Kungälv Längdskidåkning fristil","2.11","196","00:39:28","84","142","0.4","--","--","3.2","8.8","160","146","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,006","--","--","-3","11.0","Nej","00:39:28","1","24.0","--","--","--","00:27:48","00:39:28","5","36"
Annan,2026-01-27 18:53:32,false,"Blandad posturala","0.00","190","01:06:57","69","100","0.1","1","150","--","--","--","--","0.00","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","70","--","--","-3","--","Nej","01:06:57","1","--","--","--","--","00:00:00","01:06:57","--","--"
Löpning,2026-01-27 11:27:17,false,"Göteborg Löpning","8.05","609","00:42:26","137","152","3.3","162","193","5:16","4:15","110","125","1.18","8.2","9.6","268","--","5:12","--","--","393","0.0","381","597","--","--","--","6,930","--","--","-9","--","Nej","00:42:26","1","--","--","--","--","00:42:09","00:43:54","37","88"
Styrketräning,2026-01-26 06:19:46,false,"Styrka","0.00","240","00:43:13","90","148","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","24","12","1","-6","--","Nej","00:43:13","1","--","--","--","--","00:43:13","00:43:13","--","--"
Längdskidåkning klassisk stil,2026-01-25 08:39:22,false,"Orsa Längdskidåkning klassisk stil","25.86","1,113","01:57:30","120","140","2.7","--","--","13.2","34.9","207","190","--","--","--","--","--","--","--","--","160","345.7","135","491","--","--","--","12,416","--","--","-9","5.0","Nej","01:57:30","1","23.0","28","17","39","01:44:28","02:05:21","460","482"
Längdskidåkning klassisk stil,2026-01-24 14:01:00,false,"Orsa Längdskidåkning klassisk stil","46.46","2,007","03:38:05","123","145","3.6","--","--","12.8","31.8","270","263","--","--","--","--","--","--","--","--","135","461.4","108","462","--","--","--","23,934","--","--","-17","5.0","Nej","03:38:05","1","18.0","29","15","42","03:00:25","03:39:37","435","485"
Längdskidåkning klassisk stil,2026-01-24 08:26:30,false,"Orsa Längdskidåkning klassisk stil","33.21","1,651","03:30:15","113","146","2.8","--","--","9.5","31.5","338","339","--","--","--","--","--","--","--","--","140","473.8","99","500","--","--","--","15,680","--","--","-15","4.0","Nej","03:30:15","1","21.0","26","12","38","02:38:56","03:55:49","461","502"
Längdskidåkning klassisk stil,2026-01-23 14:01:56,false,"Orsa Längdskidåkning klassisk stil","31.67","1,735","02:50:49","124","159","3.5","--","--","11.1","36.0","313","320","--","--","--","--","--","--","--","--","137","367.5","94","472","--","--","--","14,522","--","--","-16","3.0","Nej","02:50:49","1","22.0","30","13","46","02:20:20","03:35:56","433","485"
Längdskidåkning klassisk stil,2026-01-23 08:42:49,false,"Orsa Längdskidåkning klassisk stil","40.00","1,939","03:06:47","127","159","3.8","--","--","12.8","30.6","277","279","--","--","--","--","--","--","--","--","140","425.4","106","476","--","--","--","18,212","--","--","-24","2.0","Nej","03:06:47","1","15.0","31","13","46","02:43:15","03:28:17","435","485"
Längdskidåkning klassisk stil,2026-01-22 15:47:01,false,"Orsa Längdskidåkning klassisk stil","31.38","1,138","02:16:19","115","150","2.6","--","--","13.8","32.3","280","278","--","--","--","--","--","--","--","--","165","427.3","134","581","--","--","--","12,732","--","--","-11","1.0","Nej","02:16:19","1","14.0","28","14","40","02:02:35","02:16:19","432","481"
Terränglöpning,2026-01-20 11:07:20,false,"Göteborg Terränglöpning","10.10","756","00:55:53","131","160","3.4","161","181","5:32","4:00","104","100","1.12","8.4","9.4","271","--","5:29","--","--","372","0.0","356","574","--","--","--","9,024","--","--","-11","--","Nej","00:55:53","1","--","--","--","--","00:55:08","01:04:50","32","87"
Styrketräning,2026-01-19 06:45:08,false,"Styrka","0.00","232","00:40:11","92","126","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8","4","1","-6","--","Nej","00:40:11","1","--","--","--","--","00:40:11","00:40:11","--","--"
Längdskidåkning klassisk stil,2026-01-17 08:10:29,false,"Borås Längdskidåkning klassisk stil","41.11","1,798","02:45:15","136","190","4.0","--","--","14.9","33.3","689","686","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","13,166","--","--","-29","12.0","Nej","00:00:00.6","10","24.0","--","--","--","02:41:19","02:57:07","236","261"
Gym- och träningsredskap,2026-01-14 17:59:51,false,"5x5:00/2:00r SkiErg","6.65","316","00:35:00","124","131","1.3","102","218","11.4","15.4","--","--","1.51","--","--","--","--","--","--","--","155","0.0","89","220","--","--","--","2,548","--","--","--","--","Nej","00:02:00","10","--","--","--","--","00:31:18","00:35:00","--","--"
Terränglöpning,2026-01-13 11:11:45,false,"Göteborg Terränglöpning","7.29","544","00:39:23","136","158","3.1","157","214","5:24","4:00","84","83","1.17","8.3","9.7","271","--","5:19","--","--","384","0.0","371","642","--","--","--","6,250","--","--","-8","--","Nej","00:19:17","2","--","--","--","--","00:39:01","00:40:15","40","89"
Styrketräning,2026-01-13 06:31:34,false,"Styrka","0.00","219","00:55:47","80","129","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","12","6","1","-5","--","Nej","00:55:47","1","--","--","--","--","00:55:47","00:55:47","--","--"
Styrketräning,2026-01-12 06:00:38,false,"Styrka","0.00","310","00:58:53","91","153","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","144","72","1","-8","--","Nej","00:58:53","1","--","--","--","--","00:58:53","00:58:53","--","--"
Längdskidåkning klassisk stil,2026-01-11 12:55:20,false,"Kungälv Längdskidåkning klassisk stil","22.10","1,175","01:39:12","140","195","4.3","--","--","13.4","28.1","285","280","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","11,500","--","--","-20","10.0","Nej","00:22:52","4","18.0","--","--","--","01:34:40","01:39:12","10","55"
Längdskidåkning klassisk stil,2026-01-10 12:52:55,false,"Ulricehamn Längdskidåkning klassisk stil","20.22","937","01:24:10","134","188","3.3","--","--","14.4","36.7","396","402","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8,812","--","--","-11","9.0","Nej","00:37:38","2","20.0","--","--","--","01:21:49","01:28:16","301","326"
Längdskidåkning klassisk stil,2026-01-10 08:38:30,false,"Ulricehamn Längdskidåkning klassisk stil","30.13","1,318","02:33:42","115","191","4.0","--","--","11.8","36.4","602","611","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","10,632","--","--","-27","5.0","Nej","00:31:20","3","19.0","--","--","--","02:16:43","02:50:07","300","327"
Längdskidåkning klassisk stil,2026-01-09 16:20:12,false,"Ulricehamn Längdskidåkning klassisk stil","12.79","481","01:10:53","101","166","1.7","--","--","10.8","33.8","249","248","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","4,374","--","--","-8","16.0","Nej","01:10:53","1","22.0","--","--","--","01:00:49","01:10:53","301","324"
Längdskidåkning klassisk stil,2026-01-08 17:42:34,false,"Kungälv Längdskidåkning klassisk stil","16.68","904","01:25:52","126","172","2.9","--","--","11.7","23.6","207","206","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","11,006","--","--","-13","16.0","Nej","00:00:40.0","5","22.0","--","--","--","01:22:39","01:25:52","9","54"
Längdskidåkning klassisk stil,2026-01-06 08:40:40,false,"Ulricehamn Längdskidåkning klassisk stil","42.59","1,761","03:07:38","126","181","3.5","--","--","13.6","38.9","853","851","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","16,492","--","--","-30","16.0","Nej","00:15:45","5","22.0","--","--","--","02:56:30","03:52:42","273","336"
Längdskidåkning klassisk stil,2026-01-04 09:51:25,false,"Borås Längdskidåkning klassisk stil","31.71","1,565","02:31:54","129","200","3.7","--","--","12.5","28.6","300","299","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","15,840","--","--","-20","8.0","Nej","00:00:03.9","4","17.0","--","--","--","02:16:01","02:36:14","238","251"
Gym- och träningsredskap,2026-01-03 17:22:25,false,"6x1000m/1:00r SkiErg","6.64","384","00:30:52","148","166","3.1","114","242","12.9","16.2","--","--","1.70","--","--","--","--","--","--","--","192","0.0","129","253","--","--","--","2,852","--","--","--","--","Nej","00:01:00","12","--","--","--","--","00:29:38","00:30:52","--","--"
Terränglöpning,2026-01-03 08:33:23,false,"Kungälv Terränglöpning","15.02","1,194","01:39:26","126","157","3.6","156","208","6:37","4:31","149","162","0.97","9.1","8.7","282","--","6:29","--","--","319","0.0","299","514","--","--","--","15,704","--","--","-22","--","Nej","00:25:38","2","--","--","--","--","01:36:50","01:43:07","-2","60"
