Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Genomsnittlig skidkadens,Maximal skidkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Totalt antal repetitioner,Totalt antal set,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-02-22 08:51:16,false,"Göteborg Löpning","9.14","586","00:51:21","177","197","172","181","5:37","3:44","68","58","1.03","0.0","8,800","--","--","Nej","00:00:35.0","10","00:50:55","00:54:06","-8","51"
Löpning,2025-02-21 05:53:23,false,"Göteborg Löpning","5.75","362","00:31:56","175","187","174","246","5:33","4:25","82","54","1.04","0.0","5,514","--","--","Nej","00:03:58.3","6","00:31:55","00:31:56","6","75"
Löpning,2025-02-16 13:18:37,false,"Göteborg Löpning","13.89","942","01:26:58","175","191","171","209","6:16","4:23","187","173","0.93","0.0","14,828","--","--","Nej","00:04:51.3","14","01:26:51","01:27:11","5","125"
Löpning,2025-02-11 06:39:22,false,"Göteborg Löpning","5.62","357","00:29:38","185","194","174","216","5:16","4:28","65","51","1.09","0.0","5,134","--","--","Nej","00:03:01.3","6","00:29:34","00:29:43","6","74"
Löpning,2025-02-06 05:44:18,false,"Göteborg Löpning","5.69","342","00:30:36","175","185","174","179","5:22","4:09","60","58","1.07","0.0","5,292","--","--","Nej","00:00:04.8","7","00:30:34","00:30:36","5","65"
Löpning,2025-02-02 10:31:57,false,"Göteborg - Stegringslopp, intervaller","5.65","348","00:32:38","176","198","153","243","5:47","3:00","61","50","1.23","0.0","5,030","--","--","Nej","00:00:04.3","26","00:30:13","00:32:38","-7","38"
Löpning,2025-01-30 07:08:00,false,"Göteborg Löpning","5.58","356","00:31:54","176","187","172","181","5:43","4:33","60","45","1.02","0.0","5,482","--","--","Nej","00:00:03.7","8","00:31:46","00:32:25","--","64"
Löpband,2025-01-25 12:13:04,false,"Stegringslopp, intervaller","3.32","229","00:19:14","184","195","171","179","5:48","3:30","--","--","1.01","0.0","3,286","--","--","Nej","00:03:27.4","4","00:19:07","00:19:14","--","--"
Löpning,2025-01-23 10:18:58,false,"Göteborg - Lätt löppass","5.15","346","00:30:00","181","193","167","178","5:50","4:27","60","26","1.03","0.0","5,040","--","--","Nej","00:03:39.9","6","00:29:09","00:30:00","5","64"
Löpning,2025-01-19 11:09:47,false,"Göteborg - Lätt löppass","10.66","695","00:59:59","183","196","166","219","5:38","3:48","79","73","1.08","0.0","9,988","--","--","Nej","00:00:05.9","14","00:58:15","01:00:48","-7","59"
Löpning,2025-01-14 20:14:00,false,"Göteborg Löpning","5.32","323","00:28:28","180","193","173","181","5:21","4:10","204","61","1.08","0.0","4,924","--","--","Nej","00:00:08.3","7","00:28:14","00:28:40","128","184"
Löpning,2025-01-08 12:26:18,false,"Göteborg - Lätt löppass","5.77","349","00:31:25","180","191","172","209","5:27","3:57","64","69","1.07","0.0","5,404","--","--","Nej","00:01:06.5","7","00:31:06","00:31:25","-36","26"
Styrketräning,2025-01-06 15:10:01,false,"Styrka","0.00","121","00:20:31","125","149","--","--","--","--","--","--","--","0.0","156","78","7","Nej","00:20:31","1","00:06:39.0","00:20:36","--","--"
Styrketräning,2025-01-06 15:08:48,false,"Styrka","0.00","5","00:00:59.7","123","128","--","--","--","--","--","--","--","0.0","--","--","1","Nej","00:00:59.7","1","00:00:09.9","00:00:59.7","--","--"
Löpning,2025-01-02 11:14:18,false,"Västerås Löpning","5.49","351","00:29:54","186","196","177","185","5:27","4:15","36","34","1.03","0.0","5,264","--","--","Nej","00:02:51.9","6","00:29:53","00:29:59","30","56"
Löpning,2024-12-30 16:12:06,false,"Västerås Löpning","5.53","331","00:27:51","187","198","172","181","5:02","4:03","38","35","1.15","0.0","4,768","--","--","Nej","00:02:33.5","6","00:27:49","00:28:06","32","56"
Löpning,2024-12-29 09:37:49,false,"Västerås Löpning","10.54","697","00:59:50","186","197","175","191","5:40","3:53","105","96","1.01","0.0","10,410","--","--","Nej","00:02:48.6","11","00:59:44","01:00:50","26","48"
Löpning,2024-12-28 20:46:11,false,"Västerås Löpning","1.36","76","00:06:48.7","177","194","172","225","4:59","3:56","11","2","1.17","0.0","1,158","--","--","Nej","00:01:48.1","2","00:06:39","00:07:24.7","32","42"
Löpning,2024-12-27 16:37:57,false,"Västerås - Lätt löppass","5.48","336","00:30:00","181","193","172","179","5:28","4:21","35","24","1.06","0.0","5,152","--","--","Nej","00:04:09.2","6","00:29:48","00:30:00","31","59"
Gång,2024-12-26 17:01:05,false,"Västerås Gång","6.90","384","01:09:37","125","159","121","249","10:06","6:00","38","32","0.82","0.0","8,536","--","--","Nej","00:08:51.7","7","01:09:22","01:09:37","27","47"
Löpning,2024-12-25 15:08:02,false,"Västerås Löpning","6.80","441","00:39:06","181","196","175","216","5:45","2:24","59","55","1.00","0.0","6,800","--","--","Nej","00:04:38.2","7","00:39:01","00:42:33","20","52"
Löpning,2024-12-25 14:48:03,false,"Västerås - Riktmärkeslopp","1.78","106","00:09:00","187","198","170","183","5:04","3:23","6","2","1.16","0.0","1,530","--","--","Nej","00:00:27.1","4","00:08:52.9","00:09:00","30","37"
Gång,2024-12-25 14:34:38,false,"Västerås Gång","1.31","90","00:10:26","150","188","103","244","7:56","1:31","10","2","1.23","0.0","1,388","--","--","Nej","00:00:03.2","3","00:08:43","00:10:26","32","43"
