Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-09-13 12:36:08,false,"Kretsloppet 54:41","10.11","951","00:54:41","194","210","5.0","175","181","5:25","4:38","41","29","1.05","7.8","8.3","250","48.8% vänster/51.2% höger","0.0","9,458","Nej","00:00:31.6","11","00:54:38","00:54:41","128","145"
Löpning,2025-09-13 12:20:57,false,"Borås Löpning","1.00","90","00:06:19.9","162","173","1.9","169","190","6:19","5:45","2","--","0.93","8.3","7.9","274","47.2% vänster/52.8% höger","0.0","1,062","Nej","00:00:00.6","2","00:06:17.6","00:06:19.9","134","137"
Löpning,2025-09-09 18:03:54,false,"Göteborg - halv norska 4/3 * 2","5.00","466","00:34:21","160","190","3.1","168","190","6:52","4:33","69","68","0.87","8.2","7.2","277","47.9% vänster/52.1% höger","0.0","5,680","Nej","00:00:01.1","8","00:34:15","00:35:21","50","99"
Löpning,2025-09-06 22:06:24,false,"Göteborg Löpning","5.32","484","00:27:43","193","203","4.4","177","185","5:12","4:38","60","56","1.08","7.3","8.1","243","49.0% vänster/51.0% höger","0.0","4,830","Nej","00:01:42.7","6","00:27:42","00:27:43","5","37"
Löpning,2025-09-06 21:34:35,false,"Göteborg Löpning","1.00","89","00:06:33.4","148","162","1.9","170","188","6:33","6:00","1","--","0.89","8.2","7.4","270","47.3% vänster/52.7% höger","0.0","1,100","Nej","00:00:00.6","2","00:06:19.6","00:07:37.2","11","13"
Löpning,2025-08-30 12:00:30,false,"Mölndal Löpning","10.10","976","00:57:31","194","209","5.0","174","181","5:42","4:48","81","77","1.00","7.5","7.8","250","49.2% vänster/50.8% höger","0.0","9,868","Nej","00:00:31.2","11","00:57:28","00:57:31","4","46"
Löpning,2025-08-27 19:44:33,false,"Mölndal - norska 4/3 * 4","9.00","819","01:03:26","161","197","3.7","167","191","7:03","4:31","57","56","0.84","7.7","6.6","292","48.3% vänster/51.7% höger","0.0","10,496","Nej","00:00:01.4","15","01:03:17","01:04:23","7","57"
Löpning,2025-08-20 10:44:21,false,"Göteborg Löpning","10.00","959","01:08:14","170","191","3.9","169","199","6:49","4:57","143","133","0.86","7.3","6.5","295","48.6% vänster/51.4% höger","0.0","11,412","Nej","00:05:53.5","10","01:07:49","01:08:33","20","101"
Löpning,2025-08-19 09:43:51,false,"Göteborg Löpning","3.07","289","00:24:41","152","165","2.1","163","174","8:03","6:13","39","33","0.76","7.4","5.8","323","48.4% vänster/51.6% höger","0.0","3,978","Nej","00:00:35.3","4","00:24:39","00:24:41","73","99"
Löpning,2025-08-17 16:19:16,false,"Göteborg Löpning","17.00","1,554","02:06:16","159","187","3.8","167","195","7:26","5:24","154","162","0.81","7.9","6.6","283","48.5% vänster/51.5% höger","0.0","20,844","Nej","00:00:00.4","18","02:06:11","02:07:22","8","97"
Löpning,2025-08-13 12:52:26,false,"Göteborg - norska 4/3 * 4","9.00","873","01:00:35","170","203","4.0","167","196","6:44","4:33","90","110","0.88","7.4","6.7","288","48.4% vänster/51.6% höger","0.0","9,974","Nej","00:00:30.5","14","01:00:17","01:01:47","43","100"
Löpning,2025-08-11 16:12:36,false,"Göteborg Löpning","8.70","813","01:04:00","153","179","3.1","167","183","7:21","5:51","113","61","0.81","7.5","6.2","294","48.7% vänster/51.3% höger","0.0","10,562","Nej","00:05:55.7","9","01:03:53","01:04:17","4","99"
Löpning,2025-08-07 20:15:46,false,"Göteborg Löpning","5.00","460","00:36:56","154","183","2.5","165","182","7:23","5:35","50","106","0.81","6.4","5.4","323","48.2% vänster/51.8% höger","0.0","6,052","Nej","00:00:01.2","6","00:36:54","00:36:56","3","99"
Löpning,2025-08-05 16:12:46,false,"Göteborg - norska 4/3 * 4","8.00","768","00:54:27","174","201","3.9","168","189","6:48","4:34","96","32","0.86","7.0","6.2","306","49.1% vänster/50.9% höger","0.0","9,028","Nej","00:03:00","12","00:54:19","00:54:40","20","89"
Löpning,2025-08-05 15:51:04,false,"Göteborg Löpning","3.00","268","00:20:48","149","161","2.2","170","190","6:56","5:33","5","78","0.85","7.6","6.6","276","48.4% vänster/51.6% höger","0.0","3,514","Nej","00:00:00.9","4","00:20:48","00:20:48","22","99"
Löpning,2025-08-04 15:24:33,false,"Göteborg Löpning","3.00","282","00:23:42","150","165","2.1","168","189","7:53","5:28","42","43","0.75","6.9","5.3","321","48.0% vänster/52.0% höger","0.0","3,942","Nej","00:00:01.3","4","00:23:34","00:26:42","73","99"
Löpning,2025-08-03 15:20:07,false,"Göteborg Löpning","16.01","1,423","01:58:07","154","176","3.5","167","177","7:23","6:13","162","187","0.81","7.6","6.2","284","48.1% vänster/51.9% höger","0.0","19,556","Nej","00:00:01.1","17","01:57:41","01:58:07","3","99"
Löpning,2025-08-01 13:43:46,false,"Göteborg Löpning","3.00","298","00:24:29","152","165","2.2","161","174","8:09","6:20","55","32","0.76","6.7","5.2","344","48.7% vänster/51.3% höger","0.0","3,908","Nej","00:00:01.3","4","00:24:28","00:24:29","45","99"
Löpning,2025-07-31 15:45:31,false,"Göteborg - norska 4/3 * 4","10.00","938","01:08:32","168","202","3.8","166","183","6:51","4:34","115","125","0.87","7.0","6.2","296","49.2% vänster/50.8% höger","0.0","11,250","Nej","00:02:22.8","14","01:08:29","01:14:00","19","99"
Löpning,2025-07-29 12:21:14,false,"Göteborg Löpning","4.00","357","00:31:46","157","168","2.1","165","177","7:56","6:46","4","95","0.77","5.6","4.4","348","48.8% vänster/51.3% höger","0.0","5,198","Nej","00:00:00.9","5","00:31:46","00:31:46","6","99"
Löpning,2025-07-27 18:26:46,false,"Göteborg Löpning","2.11","200","00:16:07","151","163","2.1","166","182","7:39","6:17","20","48","0.79","7.1","5.7","317","48.4% vänster/51.6% höger","0.0","2,652","Nej","00:00:57.6","3","00:16:06","00:16:07","50","98"
Löpning,2025-07-26 12:01:04,false,"Falkenberg Stadslopp 57:55","10.03","976","00:58:07","191","206","5.0","174","186","5:48","5:05","49","52","0.98","7.7","7.7","248","49.1% vänster/50.9% höger","0.0","9,980","Nej","00:00:07.3","11","00:58:03","00:58:07","-1","21"
Löpning,2025-07-25 16:32:01,false,"Falkenberg Löpning","2.00","186","00:14:12","154","162","2.1","169","176","7:05","5:47","6","11","0.84","7.5","6.4","276","48.7% vänster/51.3% höger","0.0","2,372","Nej","00:00:01.3","3","00:14:02","00:14:12","4","15"
Löpning,2025-07-22 18:01:57,false,"Linköping - 3*(1km 1m)","7.01","658","00:48:29","164","184","3.4","166","175","6:55","5:23","27","27","0.87","7.5","6.7","289","48.3% vänster/51.7% höger","0.0","7,956","Nej","00:01:00","10","00:48:28","00:48:29","35","49"
Löpning,2025-07-20 13:21:56,false,"Linköping Löpning","3.00","271","00:22:19","149","159","2.2","165","171","7:26","6:55","2","3","0.81","7.3","6.1","302","47.9% vänster/52.1% höger","0.0","3,642","Nej","00:00:00.8","4","00:22:17","00:22:19","38","45"
Löpning,2025-07-18 16:21:15,false,"Kraftprovet 1:16:02","11.59","1,211","01:16:06","191","203","5.0","166","185","6:34","4:54","134","136","0.91","7.6","7.0","285","49.2% vänster/50.8% höger","0.0","12,488","Nej","00:03:21.8","12","01:15:51","01:16:06","11","85"
