Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2023-11-16 16:36:59,false,"Borås Löpning","10.05","949","01:11:27","154","167","3.5","164","179","7:06","5:28","50","82","0.85","8.0","7.0","288","49.1% vänster/50.9% höger","0.0","11,634","Nej","00:00:24.0","11","01:11:25","01:11:27","126","170"
Löpning,2023-11-10 14:08:56,false,"Borås Löpning","17.65","1,630","02:09:47","155","173","4.4","162","180","7:21","5:42","108","108","0.84","8.5","7.3","288","48.4% vänster/51.6% höger","0.0","20,798","Nej","00:05:19.7","18","02:09:40","02:16:43","124","170"
Löpning,2023-11-08 17:20:14,false,"Borås Löpning","11.18","1,056","01:22:59","156","178","3.5","162","177","7:25","5:50","61","63","0.83","7.9","6.8","299","48.5% vänster/51.5% höger","0.0","13,306","Nej","00:01:35.1","12","01:22:55","01:22:59","131","168"
Löpning,2023-11-05 16:13:53,false,"Borås Löpning","11.60","1,085","01:31:42","156","171","3.6","159","177","7:54","6:35","63","75","0.79","7.7","6.3","339","49.0% vänster/51.0% höger","0.0","14,434","Nej","00:05:23.3","12","01:31:40","01:32:24","130","168"
Löpning,2023-11-03 15:02:34,false,"Löpning","3.97","424","00:24:36","175","201","4.6","161","229","6:12","4:58","--","--","0.94","8.7","8.2","282","48.2% vänster/51.8% höger","0.0","3,916","Nej","00:05:25.9","4","00:23:40","00:24:36","--","--"
Löpning,2023-11-01 17:19:06,false,"Borås Löpning","6.42","637","00:43:37","165","184","3.9","162","174","6:47","5:32","106","107","0.89","8.8","8.0","286","49.0% vänster/51.0% höger","0.0","7,010","Nej","00:02:40.7","7","00:43:36","00:43:37","162","196"
Löpning,2023-10-27 16:32:56,false,"Borås Löpning","10.04","1,003","01:08:18","165","191","4.1","164","180","6:48","5:29","63","64","0.90","8.0","7.3","284","48.7% vänster/51.3% höger","0.0","11,074","Nej","00:00:11.0","11","01:08:16","01:08:18","130","167"
Löpning,2023-10-26 14:18:27,false,"Borås Löpning","6.15","603","00:40:06","163","175","3.8","167","184","6:31","5:28","24","56","0.92","8.2","7.8","270","48.7% vänster/51.3% höger","0.0","6,628","Nej","00:01:01.8","7","00:40:04","00:40:06","132","171"
Löpning,2023-10-12 16:49:04,false,"Borås Löpning","18.50","1,750","02:07:03","162","176","4.3","164","199","6:52","5:36","114","145","0.89","8.6","7.8","271","49.2% vänster/50.8% höger","0.0","20,574","Nej","00:03:26.5","19","02:06:53","02:15:03","127","197"
Löpning,2023-10-08 15:18:34,false,"Borås Löpning","10.01","978","01:08:10","161","183","3.7","161","197","6:49","3:05","104","110","0.91","--","--","--","--","0.0","10,998","Nej","00:00:01.3","11","01:08:07","01:08:10","132","187"
Löpning,2023-10-05 18:42:21,false,"Borås Löpning","7.73","786","00:55:48","167","184","3.3","160","169","7:13","6:20","98","97","0.86","8.3","7.3","283","48.5% vänster/51.5% höger","0.0","8,858","Nej","00:04:57.6","8","00:55:40","00:55:53","132","188"
Löpning,2023-09-30 12:30:50,false,"Borås Löpning","16.00","2,002","02:26:53","171","192","5.0","137","235","9:11","4:29","471","498","0.79","9.8","7.6","355","48.8% vänster/51.2% höger","0.0","19,362","Nej","00:00:00.7","17","02:18:09","02:26:53","132","292"
Löpning,2023-09-24 15:52:54,false,"Borås Löpning","10.14","1,070","01:16:35","168","190","3.4","157","174","7:33","6:19","175","172","0.84","8.4","7.2","311","48.7% vänster/51.3% höger","0.0","11,900","Nej","00:00:59.2","11","01:16:32","01:21:25","166","235"
Löpning,2023-09-16 13:06:00,false,"Kretsloppet 54:52","10.11","1,123","00:54:58","197","211","5.0","169","186","5:26","4:05","36","37","1.08","7.3","8.2","255","50.0% vänster/50.0% höger","0.0","9,222","Nej","00:00:25.8","11","00:54:46","00:54:58","129","144"
Löpning,2023-09-14 16:50:28,false,"Borås Löpning","6.00","635","00:38:01","163","185","3.4","165","181","6:20","4:40","40","50","0.95","7.8","7.7","266","48.9% vänster/51.1% höger","0.0","6,222","Nej","00:00:01.1","7","00:38:00","00:38:01","132","171"
Löpning,2023-09-12 12:03:05,false,"Borås - norska","6.00","636","00:38:38","167","193","3.4","166","182","6:26","4:41","17","17","0.93","7.5","7.1","266","49.0% vänster/51.0% höger","0.0","6,346","Nej","00:00:00.7","13","00:38:31","00:38:38","108","151"
Löpning,2023-09-10 14:08:19,false,"Borås Löpning","7.61","817","00:45:32","176","195","4.3","172","183","5:59","4:54","13","42","0.97","7.1","7.1","257","49.3% vänster/50.8% höger","0.0","7,730","Nej","00:04:24.1","8","00:45:28","00:46:14","132","167"
Löpning,2023-09-07 19:39:55,false,"Borås Löpning","1.01","121","00:07:11.0","158","168","2.0","161","167","7:08","6:21","5","4","0.87","7.8","7.0","288","49.1% vänster/50.9% höger","0.0","1,144","Nej","00:00:02.3","2","00:07:10.7","00:07:11.0","132","137"
Löpning,2023-09-07 19:08:35,false,"Borås - 5 Strides","4.07","429","00:30:00","149","185","2.6","145","217","7:22","2:34","24","48","0.92","7.9","7.2","276","48.6% vänster/51.4% höger","0.0","4,238","Nej","00:00:10.1","13","00:29:44","00:30:00","132","167"
Löpning,2023-09-04 19:35:04,false,"Borås - norska","6.01","645","00:38:22","166","189","3.5","165","183","6:23","4:47","24","38","0.94","7.4","7.1","271","48.6% vänster/51.4% höger","0.0","6,260","Nej","00:00:00.8","12","00:37:34","00:39:02","132","152"
Löpning,2023-09-04 19:32:07,false,"Borås Löpning","0.36","36","00:02:28.9","141","153","0.4","163","169","6:56","6:41","--","15","0.87","8.1","7.2","260","48.4% vänster/51.6% höger","0.0","398","Nej","00:02:28.9","1","00:02:28.9","00:02:28.9","152","167"
Löpning,2023-09-02 16:16:30,false,"Borås Löpning","9.00","983","00:54:45","177","196","4.4","167","173","6:05","5:11","27","57","0.99","7.2","7.3","267","48.7% vänster/51.3% höger","0.0","9,038","Nej","00:00:01.7","10","00:54:43","00:54:48","131","167"
Löpning,2023-08-30 19:44:50,false,"Borås Nedvarvning ","3.40","374","00:26:55","154","170","2.2","159","166","7:55","7:21","16","17","0.79","7.8","6.3","336","49.3% vänster/50.7% höger","0.0","4,236","Nej","00:03:06.0","4","00:26:48","00:26:55","132","148"
Löpning,2023-08-30 19:13:40,false,"Borås - 5 Strides","4.00","428","00:30:31","148","184","2.5","144","218","7:38","2:26","23","52","0.89","7.9","7.0","283","48.5% vänster/51.5% höger","0.0","4,338","Nej","00:00:03.7","13","00:29:48","00:30:31","130","167"
