Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GAP;Avg Run Cadence;Max Run Cadence;Normalized Power® (NP®);L/R Balance;Training Stress Score®;Max Avg Power (20 min);Avg Power;Max Power;Total Strokes;Steps;Body Battery Drain;Decompression;Best Lap Time;Number of Laps;Avg Resp;Min Resp;Max Resp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Virtual Cycling;2025-01-08 12:47;FALSE;Zwift - EF Pro Cycling s Red Day Workout in France;22.18;348;00:45:16;119;139;2.1;--;--;29.4;46.1;132;--;--;--;--;--;--;84;110;143;--;0.0;144;134;174;--;--;--;No;00:00:15;12;--;--;--;00:45:13;00:45:16;10;34
Running;2025-01-07 15:42;FALSE;Kungsbacka Running;6.01;457;00:34:00;140;163;2.7;170;190;05:40;04:34;87;85;1.04;8.3;8.6;264;05:36;--;--;343;--;0.0;--;331;567;--;5,744;-7;No;00:00:01.4;7;--;--;--;00:33:58;00:34:00;11;32
Virtual Cycling;2025-01-05 14:03;FALSE;Zwift - 2004 in Watopia;23.68;469;00:50:56;139;170;2.9;--;--;27.9;78.5;227;--;--;--;--;--;--;83;105;178;--;0.0;183;160;303;--;--;--;No;00:00:25;22;--;--;--;00:50:51;00:50:55;0;146
Virtual Cycling;2025-01-04 20:04;FALSE;Zwift - Climber s Gambit in Watopia;28.27;752;01:10:31;144;176;3.4;--;--;24.0;63.8;669;--;--;--;--;--;--;77;120;202;--;0.0;213;186;491;--;--;--;No;01:10:31;1;--;--;--;01:10:31;01:11:32;-6;374
Virtual Cycling;2025-01-03 20:29;FALSE;Zwift - Canopies and Coastlines in Watopia;27.77;553;00:49:30;148;186;3.3;--;--;33.7;54.6;245;--;--;--;--;--;--;88;123;224;--;0.0;211;195;684;--;--;--;No;00:49:30;1;--;--;--;00:49:15;00:49:29;2;83
Virtual Cycling;2025-01-01 19:52;FALSE;Zwift - Cadence Pyramid in Richmond;20.10;358;00:46:01;118;133;2.1;--;--;26.2;64.8;187;--;--;--;--;--;--;72;120;140;--;0.0;146;135;237;--;--;--;No;00:01:00;26;--;--;--;00:46:00;00:46:00;4;65
Running;2024-12-31 13:11;FALSE;Kungsbacka Running;6.00;438;00:26:33;166;185;3.5;171;184;04:25;03:48;45;40;1.32;7.3;9.7;243;04:24;--;--;435;--;0.0;--;426;610;--;4,532;-6;No;00:00:01.2;7;--;--;--;00:26:31;00:26:33;14;32
Virtual Cycling;2024-12-29 20:17;FALSE;Zwift - Itza Party in Watopia;46.45;933;01:33:06;138;170;3.4;--;--;29.9;60.3;506;--;--;--;--;--;--;84;125;186;--;0.0;191;174;465;--;--;--;No;01:33:06;1;--;--;--;01:32:59;01:33:05;-6;146
Virtual Cycling;2024-12-27 17:15;FALSE;Zwift - Le Col - Training With Legends - Fabian Cancellara - Anaerobic Blasts in France;13.44;254;00:26:29;147;178;2.7;--;--;30.4;59.5;109;--;--;--;--;--;--;72;119;257;--;0.0;177;167;620;--;--;--;No;00:00:28;15;--;--;--;00:26:24;00:26:28;12;34
Virtual Cycling;2024-12-26 17:20;FALSE;Zwift - Intensive Aerobic x 4 in Watopia;32.33;829;01:27:09;147;174;3.5;--;--;22.3;51.9;318;--;--;--;--;--;--;85;120;183;--;0.0;191;166;305;--;--;--;No;00:00:08;30;--;--;--;01:27:05;01:27:08;0;100
Running;2024-12-25 18:56;FALSE;Kungsbacka Running;6.00;459;00:31:04;152;170;3.0;166;186;05:10;04:10;47;45;1.17;8.1;9.5;266;05:09;--;--;379;--;0.0;--;372;543;--;5,136;-6;No;00:00:01.3;7;--;--;--;00:31:01;00:32:03;12;31
Virtual Cycling;2024-12-22 12:11;FALSE;Zwift - Makuri 40 in Makuri Islands;40.35;810;01:16:41;138;171;3.2;--;--;31.6;56.0;317;--;--;--;--;--;--;85;122;198;--;0.0;207;184;724;--;--;--;No;01:16:41;1;--;--;--;01:16:30;01:16:41;3;140
Virtual Cycling;2024-12-21 19:58;FALSE;Zwift - The McCarthy Special in New York;24.41;576;01:00:20;141;179;3.2;--;--;24.3;78.9;413;--;--;--;--;--;--;84;115;199;--;0.0;190;166;331;--;--;--;No;00:00:08;14;--;--;--;01:00:09;01:00:53;5;133
Virtual Cycling;2024-12-20 07:02;FALSE;Zwift - Half Hour of Power in London;18.68;328;00:35:21;137;167;2.6;--;--;31.7;50.8;69;--;--;--;--;--;--;83;120;193;--;0.0;172;162;560;--;--;--;No;00:00:10;39;--;--;--;00:35:19;00:35:20;11;31
Virtual Cycling;2024-12-18 09:18;FALSE;Zwift - Thew in Makuri Islands;21.77;541;01:00:29;140;172;3.2;--;--;21.6;53.6;357;--;--;--;--;--;--;87;122;192;--;0.0;178;156;413;--;--;--;No;00:00:27;34;--;--;--;01:00:22;01:00:28;68;223
Virtual Cycling;2024-12-14 12:01;FALSE;Zwift - Triple Flat Loops in Watopia;34.47;668;00:57:06;157;186;3.8;--;--;36.2;56.3;157;--;--;--;--;--;--;85;126;221;--;0.0;219;204;694;--;--;--;No;00:57:06;1;--;--;--;00:57:05;00:57:05;-6;28
Virtual Cycling;2024-12-11 09:05;FALSE;Zwift - Road to Sky in Watopia;18.03;914;01:21:54;153;176;3.8;--;--;13.2;52.6;1,057;--;--;--;--;--;--;72;119;202;--;0.0;207;194;369;--;--;--;No;01:21:54;1;--;--;--;01:21:49;01:21:53;7;1,047
Virtual Cycling;2024-12-07 12:25;FALSE;Zwift - Petit Boucle in France;62.44;1,214;01:55:18;142;181;3.7;--;--;32.5;63.4;483;--;--;--;--;--;--;81;126;211;--;0.0;200;183;677;--;--;--;No;01:55:18;1;--;--;--;01:55:04;01:59:15;10;121
Virtual Cycling;2024-12-05 10:56;FALSE;Zwift - The Wringer on Volcano Climb After Party in Watopia;20.03;416;00:44:10;137;170;2.9;--;--;27.2;63.3;239;--;--;--;--;--;--;68;115;242;--;0.0;188;164;522;--;--;--;No;00:00:24;26;--;--;--;00:44:06;00:44:09;2;132
Virtual Cycling;2024-12-04 09:48;FALSE;Zwift - Over, Under and Beyond in New York;19.02;437;00:47:33;139;163;2.8;--;--;24.0;75.3;364;--;--;--;--;--;--;81;118;181;--;0.0;188;160;336;--;--;--;No;00:00:35;32;--;--;--;00:47:27;00:47:54;4;133
Virtual Cycling;2024-12-02 18:52;FALSE;Zwift - Road to Sky in Watopia;18.10;914;01:20:19;150;174;3.9;--;--;13.5;60.7;1,058;--;--;--;--;--;--;68;134;207;--;0.0;222;198;897;--;--;--;No;01:20:19;1;--;--;--;01:19:42;01:22:17;7;1,047
Virtual Cycling;2024-12-01 17:32;FALSE;Zwift - Coastal Crown Loop in Watopia;21.15;421;00:46:12;133;149;2.5;--;--;27.5;76.5;265;--;--;--;--;--;--;80;119;167;--;0.0;170;159;336;--;--;--;No;00:46:12;1;--;--;--;00:46:08;00:46:11;1;146
Virtual Cycling;2024-11-30 12:17;FALSE;Zwift - Mountain 8 in Watopia;32.75;825;01:12:59;157;181;4.2;--;--;26.9;88.4;687;--;--;--;--;--;--;76;123;217;--;0.0;229;197;542;--;--;--;No;01:12:59;1;--;--;--;01:12:47;01:13:19;-6;516
Virtual Cycling;2024-11-28 18:05;FALSE;Zwift - Tempus Fugit in Watopia;23.42;390;00:40:29;134;180;2.7;--;--;34.7;52.9;38;--;--;--;--;--;--;85;122;200;--;0.0;192;167;713;--;--;--;No;00:40:29;1;--;--;--;00:40:23;00:40:32;13;18
