Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GAP;Avg Run Cadence;Max Run Cadence;Normalized Power® (NP®);L/R Balance;Training Stress Score®;Max Avg Power (20 min);Avg Power;Max Power;Total Strokes;Steps;Body Battery Drain;Decompression;Best Lap Time;Number of Laps;Avg Resp;Min Resp;Max Resp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;2025-12-22 21:48;FALSE;Kungsbacka Running;15.01;1,045;01:20:43;144;162;3.7;159;194;05:23;04:43;100;92;1.18;8.5;10.0;277;05:19;--;--;343;--;0.0;--;337;501;--;12,792;-16;No;00:00:09.1;16;--;--;--;01:20:29;01:22:25;4;36
Virtual Cycling;2025-12-20 16:48;FALSE;Zwift - Waisted 8 in Watopia;31.05;576;00:55:45;144;177;3.1;--;--;33.4;54.7;144;--;--;--;--;--;--;82;114;191;--;0.0;198;180;748;--;--;--;No;00:55:45;1;--;--;--;00:55:40;00:55:44;-6;43
Running;2025-12-17 16:25;FALSE;Paris Running;10.02;646;00:58:33;126;149;3.1;146;171;05:51;03:49;27;64;1.15;8.5;9.7;277;05:54;--;--;304;--;0.0;--;291;512;--;8,754;-20;No;00:00:06.4;11;--;--;--;00:55:27;01:25:31;36;75
Virtual Cycling;2025-12-13 15:18;FALSE;Zwift - AC Intervals #1 on 2019 Worlds Harrogate Circuit in Yorkshire;22.01;486;00:57:10;135;174;3.0;--;--;23.1;84.8;396;--;--;--;--;--;--;76;124;192;--;0.0;177;148;612;--;--;--;No;00:00:08;33;--;--;--;00:56:56;00:58:02;97;183
Running;2025-12-10 08:52;FALSE;Quepos Running;10.02;813;00:56:54;161;186;4.0;152;171;05:41;03:53;192;198;1.15;8.4;9.6;278;05:23;--;--;334;--;0.0;--;319;507;--;8,706;-20;No;00:00:05.1;11;--;--;--;00:56:43;01:12:22;10;165
Running;2025-12-02 16:32;FALSE;Cobano Running;10.01;768;00:56:25;154;188;3.8;155;205;05:38;04:02;108;132;1.14;8.8;10.0;286;05:29;--;--;329;--;0.0;--;322;520;--;8,746;-15;No;00:00:05.3;11;--;--;--;00:56:15;01:38:11;15;109
Running;2025-11-28 09:04;FALSE;Cobano Running;10.01;718;00:48:25;160;185;4.4;161;172;04:50;04:05;49;50;1.28;8.1;10.3;265;04:50;--;--;369;--;0.0;--;368;470;--;7,784;-14;No;00:00:01.9;11;--;--;--;00:48:16;00:49:38;14;26
Running;2025-11-25 15:20;FALSE;Cobano Running;10.01;730;00:51:39;160;180;4.1;159;172;05:10;04:08;63;54;1.22;8.4;10.2;275;05:09;--;--;348;--;0.0;--;346;488;--;8,182;-11;No;00:00:02.0;11;--;--;--;00:51:32;00:56:08;12;31
Hiking;2025-11-21 06:04;FALSE;Machu Picchu Hiking;1.84;469;00:50:20;131;155;2.4;48;160;27:22:00;08:12;418;--;0.76;--;--;--;--;--;--;--;--;0.0;--;--;--;--;2,902;-7;No;00:50:20;1;--;--;--;00:26:54;00:50:20;2,246;2,669
Hiking;2025-11-20 09:42;FALSE;Machu Picchu Hiking;9.42;645;02:09:25;100;131;0.8;85;195;13:44;06:55;244;16;0.85;--;--;--;--;--;--;--;--;0.0;--;--;--;--;11,626;-8;No;02:09:25;1;--;--;--;01:51:15;02:39:47;1,851;2,088
