Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Totalt antal repetitioner,Totalt antal set,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-08-01 07:23:19,false,"Strömstad Löpning","7.45","605","00:44:34","141","165","2.7","166","174","5:59","5:07","92","91","1.01","0.0","7,392","--","--","Nej","00:02:34.3","8","00:44:28","00:44:34","--","28"
Löpning,2025-07-31 18:55:19,false,"Strömstad Löpning","8.20","665","00:40:59","166","186","3.8","157","189","5:00","3:29","61","62","1.28","0.0","6,478","--","--","Nej","00:00:06.8","16","00:37:08","00:41:03","25","29"
Löpning,2025-07-31 18:47:15,false,"Strömstad Löpning","1.70","129","00:07:17.4","133","153","2.4","171","188","4:17","3:42","11","12","1.40","0.0","1,266","--","--","Nej","00:00:16.5","3","00:07:02","00:07:17.4","25","29"
Styrketräning,2025-07-29 18:23:42,false,"Strength","0.00","233","01:09:48","81","126","0.2","--","--","--","--","--","--","--","0.0","14","7","1","Nej","01:09:48","1","01:09:48","01:09:48","--","--"
Löpning,2025-07-28 21:14:04,false,"Strömstad Löpning","9.00","672","00:50:06","138","162","2.9","169","206","5:34","2:58","159","160","1.07","0.0","8,420","--","--","Nej","00:00:04.3","10","00:50:01","00:50:06","5","29"
Löpning,2025-07-23 19:03:36,false,"Strömstad Löpning","4.82","362","00:32:37","128","163","2.4","98","208","6:46","2:56","25","28","1.54","0.0","3,400","--","--","Nej","00:01:18.8","21","00:18:09","00:34:18","25","29"
Löpband,2025-07-22 20:52:03,false,"Löpband","6.02","382","00:33:23","133","151","2.1","166","178","5:33","3:51","--","--","1.10","0.0","5,566","--","--","Nej","00:00:05.1","8","00:32:34","00:33:54","--","--"
Löpning,2025-07-20 19:12:52,false,"Strömstad Löpning","15.44","1,264","01:21:48","155","188","4.5","169","186","5:18","3:53","220","219","1.12","0.0","13,808","--","--","Nej","00:02:42.9","16","01:21:28","01:26:10","4","38"
Löpning,2025-07-18 22:31:14,false,"Strömstad Löpning","6.10","486","00:30:14","155","177","3.3","171","182","4:57","4:16","78","76","1.18","0.0","5,152","--","--","Nej","00:00:32.9","7","00:30:06","00:30:20","--","27"
Löpning,2025-07-16 08:47:14,false,"Strömstad Löpning","9.06","767","00:45:31","154","189","4.3","149","186","5:01","3:39","53","55","1.39","0.0","6,948","--","--","Nej","00:00:10.0","17","00:38:28","00:54:01","25","29"
Löpning,2025-07-15 21:35:12,false,"Strömstad Löpning","7.80","631","00:43:59","140","163","3.1","169","199","5:38","3:22","122","125","1.05","0.0","7,434","--","--","Nej","00:03:56.3","8","00:43:51","00:43:59","5","29"
Styrketräning,2025-07-15 08:10:11,false,"Strength","0.00","160","00:40:07","86","118","0.2","--","--","--","--","--","--","--","0.0","128","64","7","Nej","00:40:07","1","00:28:48","00:40:07","--","--"
Löpning,2025-07-13 19:43:34,false,"Strömstad Löpning","15.62","1,228","01:25:57","147","171","3.6","167","178","5:30","4:41","215","218","1.09","0.0","14,336","--","--","Nej","00:03:30.7","16","01:25:40","01:27:26","3","53"
Löpning,2025-07-09 18:48:20,false,"Strömstad Löpning","7.75","637","00:39:41","157","187","3.6","167","182","5:07","3:46","119","121","1.17","0.0","6,610","--","--","Nej","00:03:30.8","8","00:39:29","00:39:56","4","29"
Löpning,2025-07-08 17:39:53,false,"Strömstad Löpning","11.33","956","00:58:58","163","196","4.5","165","184","5:12","4:08","162","160","1.17","0.0","9,708","--","--","Nej","00:01:31.8","12","00:58:40","01:02:21","4","38"
Styrketräning,2025-07-05 08:21:24,false,"Strength","0.00","165","00:38:38","88","112","0.2","--","--","--","--","--","--","--","0.0","82","41","8","Nej","00:38:38","1","00:28:38","00:38:38","--","--"
Löpning,2025-07-04 16:09:44,false,"Strömstad Löpning","2.01","159","00:08:51.2","144","154","2.7","173","182","4:24","3:49","2","--","1.32","0.0","1,062","--","--","Nej","00:00:03.4","3","00:08:45","00:08:51.2","25","29"
Löpning,2025-07-04 15:30:43,false,"Strömstad Löpning","6.88","568","00:34:09","158","176","3.6","156","187","4:58","4:04","43","44","1.31","0.0","4,148","--","--","Nej","00:00:03.8","14","00:31:04","00:38:03","25","29"
Löpning,2025-07-03 15:38:42,false,"Strömstad Löpning","10.03","848","01:04:10","139","161","3.2","161","182","6:24","4:50","131","131","0.97","0.0","10,326","--","--","Nej","00:00:11.3","11","01:04:02","01:04:10","3","28"
Löpning,2025-06-24 18:46:04,false,"Strömstad Löpning","8.78","771","00:47:10","157","193","4.0","146","197","5:22","3:16","45","45","1.27","0.0","7,036","--","--","Nej","00:00:06.2","17","00:40:38","00:47:16","8","16"
Löpning,2025-06-23 18:09:02,false,"Strömstad Löpning","7.54","612","00:46:32","137","152","2.8","160","170","6:11","5:07","105","108","1.01","0.0","7,452","--","--","Nej","00:03:08.9","8","00:46:24","00:46:32","3","29"
Inomhuscykling,2025-06-22 21:28:33,false,"Inomhuscykling","0.00","630","01:00:11","133","143","2.2","--","--","--","--","--","--","--","0.0","--","--","--","Nej","01:00:11","1","00:00:00","01:00:11","--","--"
Löpning,2025-06-20 07:37:45,false,"Strömstad Löpning","6.02","509","00:40:10","138","155","2.4","159","182","6:40","4:13","91","89","0.94","0.0","6,376","--","--","Nej","00:00:09.1","7","00:40:08","00:40:10","5","28"
Löpning,2025-06-19 19:11:19,false,"Strömstad Löpning","9.09","786","00:49:52","153","189","3.9","143","219","5:29","3:57","63","63","1.24","0.0","7,186","--","--","Nej","00:00:08.3","18","00:45:30","00:50:08","25","29"
Styrketräning,2025-06-19 14:54:19,false,"Strength","0.00","245","00:50:43","92","122","0.3","--","--","--","--","--","--","--","0.0","76","38","12","Nej","00:50:43","1","00:22:21","00:50:43","--","--"
Löpning,2025-06-17 11:54:14,false,"Löpning","7.09","603","00:42:49","146","173","2.8","155","175","6:03","3:48","--","--","1.07","0.0","6,630","--","--","Nej","00:00:31.1","8","00:42:48","00:42:49","--","--"
Löpning,2025-06-13 20:08:21,false,"Strömstad Löpning","11.48","1,003","01:04:17","158","184","4.0","155","177","5:36","3:46","13","5","1.15","0.0","9,938","--","--","Nej","00:02:46.4","12","01:04:15","01:04:17","6","23"
Löpning,2025-06-02 11:48:11,false,"Löpning","4.41","372","00:24:24","148","170","2.8","157","166","5:32","3:50","--","--","1.16","0.0","3,834","--","--","Nej","00:02:12.8","5","00:24:22","00:24:24","--","--"
Löpning,2025-05-28 18:06:25,false,"Göteborg Löpning","8.62","758","00:47:23","158","182","3.5","157","166","5:30","3:50","86","77","1.16","0.0","7,454","--","--","Nej","00:03:03.6","9","00:47:18","00:47:23","50","71"
Löpning,2025-05-22 18:34:21,false,"Löpning","7.42","721","00:45:45","155","179","3.5","146","168","6:10","5:03","--","--","1.11","0.0","6,714","--","--","Nej","00:04:58.8","8","00:43:02","00:45:45","--","--"
Styrketräning,2024-07-30 19:08:28,false,"Strength","0.00","178","00:31:44","97","123","0.4","--","--","--","--","--","--","--","0.0","132","66","9","Nej","00:31:44","1","00:22:52","00:31:44","--","--"
Styrketräning,2024-07-19 08:44:36,false,"Strength","0.00","413","00:53:22","116","173","1.9","--","--","--","--","--","--","--","0.0","798","399","32","Nej","00:53:22","1","00:27:49","00:53:22","--","--"
Styrketräning,2024-07-08 10:51:48,false,"Strength","0.00","445","01:00:57","112","176","2.2","--","--","--","--","--","--","--","0.0","784","392","32","Nej","01:00:57","1","00:37:38","01:00:57","--","--"
Löpning,2024-07-05 13:47:41,false,"Löpning","1.14","198","00:30:06","101","137","0.7","42","171","26:27","5:06","--","--","0.85","0.0","1,662","--","--","Nej","00:00:06.1","21","00:09:38","00:30:24","--","--"
Styrketräning,2024-07-04 09:23:45,false,"Strength","0.00","226","00:23:47","122","160","1.5","--","--","--","--","--","--","--","0.0","308","154","15","Nej","00:23:47","1","00:15:28","00:23:47","--","--"
Crosstrainer,2024-07-04 09:10:14,false,"Crosstrainer","0.00","62","00:10:29","95","143","0.3","0","146","--","--","--","--","0.00","0.0","2","--","--","Nej","00:10:29","1","00:00:00","00:10:29","--","--"
Styrketräning,2024-07-01 21:59:52,false,"Strength","0.00","465","00:50:37","122","176","2.5","--","--","--","--","--","--","--","0.0","772","386","31","Nej","00:50:37","1","00:24:56","00:50:37","--","--"
Löpning,2024-05-18 14:23:33,false,"Göteborg Löpning","19.02","1,997","01:49:47","181","191","5.0","157","167","5:46","3:47","83","65","1.10","0.0","17,162","--","--","Nej","00:00:29.0","20","01:49:03","01:49:47","0","41"
Löpning,2023-10-15 15:57:37,false,"Göteborg Löpning","5.34","417","01:06:07","90","147","1.1","90","199","12:23","3:48","67","69","0.90","0.0","6,116","--","--","Nej","00:02:40.5","6","01:04:08","01:06:07","2","27"
Cykling,2023-10-15 10:59:25,false,"Göteborg Cykling","20.35","1,623","03:52:56","116","171","2.3","--","--","5.2","33.7","327","260","--","0.0","--","--","--","Nej","00:07:28.7","5","01:57:45","03:52:56","-25","125"
Cykling,2023-10-08 11:11:34,false,"Göteborg Cykling","8.94","721","02:02:54","101","148","0.8","--","--","4.4","28.5","89","88","--","0.0","--","--","--","Nej","00:53:31","2","01:05:59","02:02:54","3","36"
Cykling,2023-10-07 12:12:47,false,"Göteborg Cykling","27.52","1,913","03:54:13","125","180","3.2","--","--","7.0","41.3","437","445","--","0.0","--","--","--","Nej","00:16:26","6","02:26:32","03:54:16","3","139"
Löpning,2023-10-02 18:57:30,false,"Löpning","6.55","636","00:36:00","168","189","3.9","153","167","5:30","3:51","--","--","1.19","0.0","5,522","--","--","Nej","00:03:19.5","7","00:35:28","00:36:00","--","--"
Cykling,2023-09-24 14:26:14,false,"Göteborg Cykling","21.45","1,494","02:51:45","128","182","3.2","--","--","7.5","36.0","309","313","--","0.0","--","--","--","Nej","00:08:48.5","5","01:47:51","03:21:53","-3","128"
Styrketräning,2023-09-23 10:43:26,false,"Strength","0.00","504","00:54:04","125","155","2.0","--","--","--","--","--","--","--","0.0","8","4","1","Nej","00:54:04","1","00:54:04","00:54:04","--","--"
Styrketräning,2023-09-20 19:46:02,false,"Strength","0.00","466","01:24:27","99","143","0.8","--","--","--","--","--","--","--","0.0","10","5","1","Nej","01:24:27","1","01:24:27","01:24:27","--","--"
Löpning,2023-09-16 09:40:16,false,"Stockholm Löpning","6.01","534","00:37:26","145","179","2.9","140","219","6:14","3:43","578","576","1.14","0.0","5,384","--","--","Nej","00:00:01.9","7","00:34:34","00:37:33","5","116"
